Geography,Product,Time,Dollar Sales,Unit Sales,SKU
Circle K Florida-RMA - Conv,CIGARETTES,4 Weeks Ending 05-21-17,32204223.3,5425080.86,Cigarettes Total
Circle K Florida-RMA - Conv,CIGARETTES,4 Weeks Ending 06-18-17,31439809.85,5295483.24,Cigarettes Total
Circle K Florida-RMA - Conv,CIGARETTES,4 Weeks Ending 07-16-17,31710590.71,5323886.212,Cigarettes Total
Circle K Florida-RMA - Conv,CIGARETTES,4 Weeks Ending 08-13-17,31545185.41,5277076.45,Cigarettes Total
Circle K Florida-RMA - Conv,CIGARETTES,4 Weeks Ending 09-10-17,31327131.81,5036893.892,Cigarettes Total
Circle K Florida-RMA - Conv,CIGARETTES,4 Weeks Ending 10-08-17,29300490.94,4802083.69,Cigarettes Total
Circle K Florida-RMA - Conv,CIGARETTES,4 Weeks Ending 11-05-17,32172551.11,5211170.13,Cigarettes Total
Circle K Florida-RMA - Conv,CIGARETTES,4 Weeks Ending 12-03-17,31798717.85,5139659.871,Cigarettes Total
Circle K Florida-RMA - Conv,CIGARETTES,4 Weeks Ending 12-31-17,31232120.34,5046590.044,Cigarettes Total
Circle K Florida-RMA - Conv,CIGARETTES,4 Weeks Ending 01-28-18,29186725,4750724,Cigarettes Total
Circle K Florida-RMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 01-31-16,409493.472,45084.77852,E-Cigs Total
Circle K Florida-RMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 02-28-16,436735.4066,46103.19515,E-Cigs Total
Circle K Florida-RMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 03-27-16,432972.08,45642,E-Cigs Total
Circle K Florida-RMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 04-24-16,468938.2989,53057.14312,E-Cigs Total
Circle K Florida-RMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 05-22-16,458461.4068,54598.98024,E-Cigs Total
Circle K Florida-RMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 06-19-16,414807.8343,52259.17038,E-Cigs Total
Circle K Florida-RMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 07-17-16,406761.72,53127,E-Cigs Total
Circle K Florida-RMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 08-14-16,424887.3878,55934.22,E-Cigs Total
Circle K Florida-RMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 09-11-16,428386.8327,56831.64027,E-Cigs Total
Circle K Florida-RMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 10-09-16,434493.6639,57258.06888,E-Cigs Total
Circle K Florida-RMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 11-06-16,460498.43,58523,E-Cigs Total
Circle K Florida-RMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 12-04-16,467947.66,58489.18,E-Cigs Total
Circle K Florida-RMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 01-01-17,443634.08,55260.19,E-Cigs Total
Circle K Florida-RMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 01-29-17,438053.97,53784.06,E-Cigs Total
Circle K Florida-RMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 02-26-17,463416.61,57572.01,E-Cigs Total
Circle K Florida-RMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 03-26-17,476474.1784,60338.16,E-Cigs Total
Circle K Florida-RMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 04-23-17,474791.9559,59890.63257,E-Cigs Total
Circle K Florida-RMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 05-21-17,473984.412,58995.33,E-Cigs Total
Circle K Florida-RMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 06-18-17,466276.467,56112.3,E-Cigs Total
Circle K Florida-RMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 07-16-17,465055.9995,56197.20782,E-Cigs Total
Circle K Florida-RMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 08-13-17,511325.2077,59973.23,E-Cigs Total
Circle K Florida-RMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 09-10-17,541863.8888,62325.65928,E-Cigs Total
Circle K Florida-RMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 10-08-17,483844.6836,56937.14,E-Cigs Total
Circle K Florida-RMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 11-05-17,533342.0372,63856.87211,E-Cigs Total
Circle K Florida-RMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 12-03-17,543725.1896,64815.72285,E-Cigs Total
Circle K Florida-RMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 12-31-17,563032.5169,67844.96214,E-Cigs Total
Circle K Florida-RMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 01-28-18,529887.49,65775,E-Cigs Total
Circle K Florida-RMA - Conv,JUUL ELCTRNC SMKNG ACSRY FRUUT DISPOSABLE 4 CT - 0819913011391,4 Weeks Ending 01-28-18,31.98,2,JUUL Refill Kits
Circle K Florida-RMA - Conv,JUUL ELCTRNC SMKNG ACSRY MIINT DISPOSABLE 4 CT - 0819913011401,4 Weeks Ending 06-18-17,47.97,3,JUUL Refill Kits
Circle K Florida-RMA - Conv,JUUL ELCTRNC SMKNG ACSRY MIINT DISPOSABLE 4 CT - 0819913011401,4 Weeks Ending 07-16-17,95.94,6,JUUL Refill Kits
Circle K Florida-CRMA - Conv,CIGARETTES,4 Weeks Ending 01-31-16,172713373.6,28157380.62,Cigarettes Total
Circle K Florida-CRMA - Conv,CIGARETTES,4 Weeks Ending 02-28-16,179250054.9,29063002.39,Cigarettes Total
Circle K Florida-CRMA - Conv,CIGARETTES,4 Weeks Ending 03-27-16,185771850.1,30191003.8,Cigarettes Total
Circle K Florida-CRMA - Conv,CIGARETTES,4 Weeks Ending 04-24-16,187672508.1,30748173.02,Cigarettes Total
Circle K Florida-CRMA - Conv,CIGARETTES,4 Weeks Ending 05-22-16,187970082.3,31008742.67,Cigarettes Total
Circle K Florida-CRMA - Conv,CIGARETTES,4 Weeks Ending 06-19-16,190712420.4,31184836.36,Cigarettes Total
Circle K Florida-CRMA - Conv,CIGARETTES,4 Weeks Ending 07-17-16,194795244.5,31985178.84,Cigarettes Total
Circle K Florida-CRMA - Conv,CIGARETTES,4 Weeks Ending 08-14-16,197857518.4,32622975.11,Cigarettes Total
Circle K Florida-CRMA - Conv,CIGARETTES,4 Weeks Ending 09-11-16,199825599.8,32974130.27,Cigarettes Total
Circle K Florida-CRMA - Conv,CIGARETTES,4 Weeks Ending 10-09-16,198908816.2,32682988.1,Cigarettes Total
Circle K Florida-CRMA - Conv,CIGARETTES,4 Weeks Ending 11-06-16,199845086.8,32973392.35,Cigarettes Total
Circle K Florida-CRMA - Conv,CIGARETTES,4 Weeks Ending 12-04-16,193040999.2,31604614.2,Cigarettes Total
Circle K Florida-CRMA - Conv,CIGARETTES,4 Weeks Ending 01-01-17,187105663.4,30438517.82,Cigarettes Total
Circle K Florida-CRMA - Conv,CIGARETTES,4 Weeks Ending 01-29-17,178626905.3,29066367.2,Cigarettes Total
Circle K Florida-CRMA - Conv,CIGARETTES,4 Weeks Ending 02-26-17,184002861.6,29811964.04,Cigarettes Total
Circle K Florida-CRMA - Conv,CIGARETTES,4 Weeks Ending 03-26-17,185074255.5,30076880.1,Cigarettes Total
Circle K Florida-CRMA - Conv,CIGARETTES,4 Weeks Ending 04-23-17,189464092.8,30727568.95,Cigarettes Total
Circle K Florida-CRMA - Conv,CIGARETTES,4 Weeks Ending 05-21-17,188988614.4,30470694.36,Cigarettes Total
Circle K Florida-CRMA - Conv,CIGARETTES,4 Weeks Ending 06-18-17,188748103,30505500.4,Cigarettes Total
Circle K Florida-CRMA - Conv,CIGARETTES,4 Weeks Ending 07-16-17,196000982.1,31639063.93,Cigarettes Total
Circle K Florida-CRMA - Conv,CIGARETTES,4 Weeks Ending 08-13-17,203319864,32877593.09,Cigarettes Total
Circle K Florida-CRMA - Conv,CIGARETTES,4 Weeks Ending 09-10-17,206669014.9,32273360.69,Cigarettes Total
Circle K Florida-CRMA - Conv,CIGARETTES,4 Weeks Ending 10-08-17,204631287.6,32840971.62,Cigarettes Total
Circle K Florida-CRMA - Conv,CIGARETTES,4 Weeks Ending 11-05-17,211001004,33576752.51,Cigarettes Total
Circle K Florida-CRMA - Conv,CIGARETTES,4 Weeks Ending 12-03-17,203128775.3,32222601.91,Cigarettes Total
Circle K Florida-CRMA - Conv,CIGARETTES,4 Weeks Ending 12-31-17,191479275,30253862.03,Cigarettes Total
Circle K Florida-CRMA - Conv,CIGARETTES,4 Weeks Ending 01-28-18,177403607.9,28096588.92,Cigarettes Total
Circle K Florida-CRMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 01-31-16,2392625.678,287691.9407,E-Cigs Total
Circle K Florida-CRMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 02-28-16,2525406.499,305466.0572,E-Cigs Total
Circle K Florida-CRMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 03-27-16,2534500.295,303099.6822,E-Cigs Total
Circle K Florida-CRMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 04-24-16,2483400.111,302636.8366,E-Cigs Total
Circle K Florida-CRMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 05-22-16,2461672.052,300914.0564,E-Cigs Total
Circle K Florida-CRMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 06-19-16,2500178.728,314136.1406,E-Cigs Total
Circle K Florida-CRMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 07-17-16,2457735.632,313580.5661,E-Cigs Total
Circle K Florida-CRMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 08-14-16,2637200.197,347973.1386,E-Cigs Total
Circle K Florida-CRMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 09-11-16,2749085.877,363805.7566,E-Cigs Total
Circle K Florida-CRMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 10-09-16,2828702.963,368669.4523,E-Cigs Total
Circle K Florida-CRMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 11-06-16,2899147.28,368845.2715,E-Cigs Total
Circle K Florida-CRMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 12-04-16,2930802.441,361272.3207,E-Cigs Total
Circle K Florida-CRMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 01-01-17,2840215.97,344830.6804,E-Cigs Total
Circle K Florida-CRMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 01-29-17,2882119.825,344374.1541,E-Cigs Total
Circle K Florida-CRMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 02-26-17,2961030.352,355282.5993,E-Cigs Total
Circle K Florida-CRMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 03-26-17,3129361.168,375731.8455,E-Cigs Total
Circle K Florida-CRMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 04-23-17,2943919.811,360001.5659,E-Cigs Total
Circle K Florida-CRMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 05-21-17,3155867.202,374399.5914,E-Cigs Total
Circle K Florida-CRMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 06-18-17,3263840.046,374689.0987,E-Cigs Total
Circle K Florida-CRMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 07-16-17,3681980.364,412866.2206,E-Cigs Total
Circle K Florida-CRMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 08-13-17,4010802.262,437936.305,E-Cigs Total
Circle K Florida-CRMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 09-10-17,3852808.812,424152.8295,E-Cigs Total
Circle K Florida-CRMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 10-08-17,3602207.405,396645.1775,E-Cigs Total
Circle K Florida-CRMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 11-05-17,4015398.085,429668.9548,E-Cigs Total
Circle K Florida-CRMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 12-03-17,3949604.101,413788.3758,E-Cigs Total
Circle K Florida-CRMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 12-31-17,4107291.265,417216.6044,E-Cigs Total
Circle K Florida-CRMA - Conv,ELECTRONIC SMOKING DEVICES,4 Weeks Ending 01-28-18,4199746.135,412571.4309,E-Cigs Total
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY CLASSIC TOBACCO DISPOSABLE 4 CT - 0819913014141,4 Weeks Ending 01-28-18,109.568425,5.481161833,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY COOL CUCUMBER DISPOSABLE 4 CT - 0819913012471,4 Weeks Ending 01-28-18,770.8901746,36.16259003,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY BRUULE DISPOSABLE 4 CT - 0819913011381,4 Weeks Ending 01-31-16,4293.655289,220.4596341,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY BRUULE DISPOSABLE 4 CT - 0819913011381,4 Weeks Ending 02-28-16,1664.947999,98.49346888,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY BRUULE DISPOSABLE 4 CT - 0819913011381,4 Weeks Ending 03-27-16,1724.704666,114.1808741,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY BRUULE DISPOSABLE 4 CT - 0819913011381,4 Weeks Ending 04-24-16,2105.421165,137.0496557,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY BRUULE DISPOSABLE 4 CT - 0819913011381,4 Weeks Ending 05-22-16,2115.427893,171.1613462,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY BRUULE DISPOSABLE 4 CT - 0819913011381,4 Weeks Ending 06-19-16,2608.60526,245.1210377,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY BRUULE DISPOSABLE 4 CT - 0819913011381,4 Weeks Ending 07-17-16,3396.487737,266.7016346,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY BRUULE DISPOSABLE 4 CT - 0819913011381,4 Weeks Ending 08-14-16,5433.802951,298.7648606,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY BRUULE DISPOSABLE 4 CT - 0819913011381,4 Weeks Ending 09-11-16,6138.455941,359.5272013,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY BRUULE DISPOSABLE 4 CT - 0819913011381,4 Weeks Ending 10-09-16,9616.426207,544.9490505,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY BRUULE DISPOSABLE 4 CT - 0819913011381,4 Weeks Ending 11-06-16,7659.440228,455.373287,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY BRUULE DISPOSABLE 4 CT - 0819913011381,4 Weeks Ending 12-04-16,11986.67733,731.0356824,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY BRUULE DISPOSABLE 4 CT - 0819913011381,4 Weeks Ending 01-01-17,16441.29428,966.059294,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY BRUULE DISPOSABLE 4 CT - 0819913011381,4 Weeks Ending 01-29-17,24082.56468,1373.263433,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY BRUULE DISPOSABLE 4 CT - 0819913011381,4 Weeks Ending 02-26-17,24155.23477,1474.324312,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY BRUULE DISPOSABLE 4 CT - 0819913011381,4 Weeks Ending 03-26-17,23799.82635,1437.11718,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY BRUULE DISPOSABLE 4 CT - 0819913011381,4 Weeks Ending 04-23-17,36719.95288,2164.617471,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY BRUULE DISPOSABLE 4 CT - 0819913011381,4 Weeks Ending 05-21-17,40492.77454,2424.751186,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY BRUULE DISPOSABLE 4 CT - 0819913011381,4 Weeks Ending 06-18-17,30471.71035,1807.30224,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY BRUULE DISPOSABLE 4 CT - 0819913011381,4 Weeks Ending 07-16-17,52218.08338,3160.640861,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY BRUULE DISPOSABLE 4 CT - 0819913011381,4 Weeks Ending 08-13-17,63912.44541,3860.768412,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY BRUULE DISPOSABLE 4 CT - 0819913011381,4 Weeks Ending 09-10-17,60683.59017,3523.765702,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY BRUULE DISPOSABLE 4 CT - 0819913011381,4 Weeks Ending 10-08-17,39390.66321,2374.414657,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY BRUULE DISPOSABLE 4 CT - 0819913011381,4 Weeks Ending 11-05-17,45787.78151,2734.405912,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY BRUULE DISPOSABLE 4 CT - 0819913011381,4 Weeks Ending 12-03-17,44370.18517,2728.695401,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY BRUULE DISPOSABLE 4 CT - 0819913011381,4 Weeks Ending 12-31-17,58417.01347,3499.777925,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY BRUULE DISPOSABLE 4 CT - 0819913011381,4 Weeks Ending 01-28-18,64481.92585,3827.182791,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY FRUUT DISPOSABLE 4 CT - 0819913011391,4 Weeks Ending 01-31-16,1220.945236,73.20946658,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY FRUUT DISPOSABLE 4 CT - 0819913011391,4 Weeks Ending 02-28-16,1373.894832,85.92212832,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY FRUUT DISPOSABLE 4 CT - 0819913011391,4 Weeks Ending 03-27-16,1285.314895,80.38241994,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY FRUUT DISPOSABLE 4 CT - 0819913011391,4 Weeks Ending 04-24-16,1414.816991,88.48136282,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY FRUUT DISPOSABLE 4 CT - 0819913011391,4 Weeks Ending 05-22-16,1579.401476,128.771312,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY FRUUT DISPOSABLE 4 CT - 0819913011391,4 Weeks Ending 06-19-16,1779.552128,183.2584471,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY FRUUT DISPOSABLE 4 CT - 0819913011391,4 Weeks Ending 07-17-16,3242.515112,258.6442418,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY FRUUT DISPOSABLE 4 CT - 0819913011391,4 Weeks Ending 08-14-16,2830.318871,172.5132345,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY FRUUT DISPOSABLE 4 CT - 0819913011391,4 Weeks Ending 09-11-16,4871.711899,288.1832999,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY FRUUT DISPOSABLE 4 CT - 0819913011391,4 Weeks Ending 10-09-16,7885.346566,491.2662017,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY FRUUT DISPOSABLE 4 CT - 0819913011391,4 Weeks Ending 11-06-16,13743.30249,768.4000168,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY FRUUT DISPOSABLE 4 CT - 0819913011391,4 Weeks Ending 12-04-16,11788.18856,715.0631568,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY FRUUT DISPOSABLE 4 CT - 0819913011391,4 Weeks Ending 01-01-17,17800.72481,1023.733768,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY FRUUT DISPOSABLE 4 CT - 0819913011391,4 Weeks Ending 01-29-17,37966.4861,2076.388507,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY FRUUT DISPOSABLE 4 CT - 0819913011391,4 Weeks Ending 02-26-17,31931.34588,1778.295212,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY FRUUT DISPOSABLE 4 CT - 0819913011391,4 Weeks Ending 03-26-17,36593.03783,2093.183143,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY FRUUT DISPOSABLE 4 CT - 0819913011391,4 Weeks Ending 04-23-17,34202.89429,2010.736125,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY FRUUT DISPOSABLE 4 CT - 0819913011391,4 Weeks Ending 05-21-17,40769.21848,2322.948318,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY FRUUT DISPOSABLE 4 CT - 0819913011391,4 Weeks Ending 06-18-17,51058.70824,2838.271164,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY FRUUT DISPOSABLE 4 CT - 0819913011391,4 Weeks Ending 07-16-17,39718.65824,2261.167069,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY FRUUT DISPOSABLE 4 CT - 0819913011391,4 Weeks Ending 08-13-17,48307.21329,2565.057874,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY FRUUT DISPOSABLE 4 CT - 0819913011391,4 Weeks Ending 09-10-17,75273.68889,4369.021007,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY FRUUT DISPOSABLE 4 CT - 0819913011391,4 Weeks Ending 10-08-17,58839.66548,3464.394914,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY FRUUT DISPOSABLE 4 CT - 0819913011391,4 Weeks Ending 11-05-17,67467.16299,4001.648541,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY FRUUT DISPOSABLE 4 CT - 0819913011391,4 Weeks Ending 12-03-17,74736.31375,4504.186375,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY FRUUT DISPOSABLE 4 CT - 0819913011391,4 Weeks Ending 12-31-17,97716.43845,5874.135786,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY FRUUT DISPOSABLE 4 CT - 0819913011391,4 Weeks Ending 01-28-18,105442.6545,6310.458955,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY MANGO DISPOSABLE 4 CT - 0819913012441,4 Weeks Ending 12-03-17,33245.36911,1583.867037,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY MANGO DISPOSABLE 4 CT - 0819913012441,4 Weeks Ending 12-31-17,57660.78203,2747.059649,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY MANGO DISPOSABLE 4 CT - 0819913012441,4 Weeks Ending 01-28-18,82729.88655,3944.118902,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY MIINT DISPOSABLE 4 CT - 0819913011401,4 Weeks Ending 01-31-16,2966.423487,167.1374406,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY MIINT DISPOSABLE 4 CT - 0819913011401,4 Weeks Ending 02-28-16,2040.736942,126.9843347,JUUL Refill Kits
Circle K Florida-CRMA - Conv,JUUL ELCTRNC SMKNG ACSRY MIINT DISPOSABLE 4 CT - 0819913011401,4 Weeks Ending 03-27-16,4094.526925,273.6225181,JUUL Refill Kits
